name,length,width,height,,x,y,flags,,x,y,flags,,x,y,flags
Boulder,2,16,16,,0,0,0,,80,48,0,,,,
Whirlwind,2,16,16,,16,0,0,,16,0,1,,,,
OldMan,1,16,16,,32,0,0,,,,,,,,
OldWoman,1,16,16,,48,0,0,,,,,,,,
Merchant,1,16,16,,64,0,0,,,,,,,,
FlyingRock,1,8,16,,80,0,0,,,,,,,,
Armos_Down,2,16,16,,96,0,0,,112,0,0,,,,
Armos_Up,2,16,16,,0,16,0,,16,16,0,,,,
Armos_Right,2,16,16,,96,0,0,,112,0,0,,,,
Armos_Left,2,16,16,,96,0,0,,112,0,0,,,,
Octorock_Down,2,16,16,,32,16,0,,48,16,0,,,,
Octorock_Left,2,16,16,,64,16,0,,80,16,0,,,,
Octorock_Up,2,16,16,,32,16,2,,48,16,2,,,,
Octorock_Right,2,16,16,,64,16,1,,80,16,1,,,,
Mound,2,16,16,,96,16,0,,112,16,0,,,,
LeeverHalf,1,16,16,,0,32,0,,,,,,,,
Leever,2,16,16,,16,32,0,,32,32,0,,,,
Peahat,2,16,16,,48,32,0,,64,32,0,,,,
Tektite,2,16,16,,80,32,0,,96,32,0,,,,
Lynel_Right,2,16,16,,112,32,0,,0,48,0,,,,
Lynel_Left,2,16,16,,112,32,1,,0,48,1,,,,
Lynel_Down,2,16,16,,16,48,0,,16,48,1,,,,
Lynel_Up,2,16,16,,32,48,0,,32,48,1,,,,
Ghini_Left,1,16,16,,48,48,0,,,,,,,,
Ghini_Right,1,16,16,,48,48,1,,,,,,,,
Ghini_UpLeft,1,16,16,,64,48,1,,,,,,,,
Ghini_UpRight,1,16,16,,64,48,0,,,,,,,,
Zora_Down,1,16,16,,96,48,0,,,,,,,,
Zora_Up,1,16,16,,112,48,0,,,,,,,,
Moblin_Right,2,16,16,,0,64,0,,16,64,0,,,,
Moblin_Left,2,16,16,,0,64,1,,16,64,1,,,,
Moblin_Down,2,16,16,,32,64,0,,32,64,1,,,,
Moblin_Up,2,16,16,,48,64,0,,48,64,1,,,,
